Features,Importances
DMw(c5),0.04382877817227808
DPSA(c4),0.04332991080293806
DMw(c4),0.04323190947220085
DPSA(c5),0.04101461011081022
DALOGP(c4),0.04038886160802799
DPSA(c3),0.040388117295695504
DPSA(c1),0.04007058330659889
DPSA(c2),0.03993734479857411
DMw(c2),0.039695668815184534
DPSA(c6),0.03953472147438414
DMw(c6),0.03924015414714325
DMw(c1),0.03922186936159364
DMw(c3),0.03826968200884479
DALOGP(c2),0.03722901222083408
DALOGP(c3),0.03630031595617741
DALOGP(c5),0.03629118041915697
DALOGP(c1),0.03572793474626455
DALOGP(c6),0.0355063998134462
DNVR5(c4),0.03509130830822582
DNVR5(c1),0.022497981641708714
DNVR5(c3),0.020858494534125464
DNVR5(c5),0.012438877066594424
DNVR5(c2),0.01121805597676234
DNVR5(c6),0.0014975013077920551
